,Unnamed: 0,platforms,genres,rating,title,url,star,review,author,n_ratings,cover,id,type
45,45,PC / Mac / Android / Linux,游戏 / 第一人称射击 / 益智 / 射击 / 冒险 / 动作,9.4,传送门 Portal,https://www.douban.com/game/10747851/,50.0,有一个很二逼的炮台，一直说“I‘m different.” 我超级喜欢他，救下了他，带着他走了很久很久，听他BB，然后通过一个安全门的时候他被门清除了。我愣在电脑面前五分钟。,ｃ˙Ꙫ˙,1855.0,https://img3.doubanio.com/lpic/s10414010.jpg,45,动作
46,46,PC / Xbox One,游戏 / 冒险 / 动作,9.4,奥里与迷失森林：终极版 Ori and the Blind Forest: Definitive Edition,https://www.douban.com/game/26946739/,50.0,豆瓣真是什么人都有，因为持有残疾证所以打一星🌚理由充分!活久见!,烫手的山芋,304.0,https://img3.doubanio.com/lpic/s29255216.jpg,46,动作
47,47,GBA,游戏 / 横版过关 / 射击 / 冒险 / 动作,9.4,银河战士：融合 メトロイド フュージョン,https://www.douban.com/game/26339684/,50.0,"『融合』手感和流程比『超级银河战士』更流畅，提示丰富让玩家不再浪费时间，但同时也少了以前的孤独、微微恐惧地探索感。
几个 Boss 站设计得很硬核，找到了久违的：挑战－失败－总结－再挑战的感觉。
近几年，玩的最佳2D ACT。",link shaw,189.0,https://img1.doubanio.com/lpic/s28397127.jpg,47,动作
48,48,PC / PS4 / Xbox One,游戏 / 冒险 / 动作,9.4,生化危机2：重制版 Resident Evil 2,https://www.douban.com/game/27066095/,50.0,「暴君」这个设定简直让我神经衰弱了。中午趴桌子上睡午觉，同事回来的脚步声让我以为暴君出现了，吓得我直接从座位上弹了起来。,月亮先生,1771.0,https://img3.doubanio.com/lpic/s29791400.jpg,48,动作
49,49,PC,游戏 / 文字冒险 / 角色扮演 / 动作,9.4,BALDR SKY Dive2“RECORDARE”,https://www.douban.com/game/11629339/,50.0,1、三年的怨念（抹泪） 2、要是能拿出抹布拉布三年磨一剑那种决心来做或许不会那么急就章，也不会有那么多瑕疵。可惜了这格局和大纲。卑影你功力还有待提高啊…… 3、确实可以战个痛但这种剧情不够战斗来凑的灌水法真是反面教材。PS：武器不知他们怎么翻的我很好奇啊wwwww,[已注销],86.0,https://img3.doubanio.com/lpic/s11290531.jpg,49,动作
50,50,PC,游戏 / 角色扮演 / 动作,9.4,古剑奇谭三：梦付千秋星垂野,https://www.douban.com/game/27028686/,50.0,"不能无脑过BOSS就是难度高，还理直气壮的无视游戏质量给低分。
这游戏你用普通难度，打BOSS失败了就动动脑筋想对策，根本就没有什么过不去的，甚至有些找到方法还超简单。
但有那么一小撮人就是不乐意，就想着一命通关，药也懒得捡，BOSS攻击套路懒得记，自身操作水平不想提高。
从前回合制的时候抱怨国产没操作性只能看剧情，说只看剧情为什么不去看电影。古剑也被嘲讽是电视剧里插播游戏。
现在古剑朝着巫师老滚的方向这么认真的努力了一把。好了，你们又懒得花心思去玩，又说玩国产就是为了看剧情来的，为什么操作性做的这么强。
反正好坏话都由你们说。按你们的意思，最好国产全都像泰坦六那样粉丝间自娱自乐好了。也别提什么游戏性成就感，永远没啥难度，出了新作随便打打看完剧情就好了。
这些年国产单机都养了些什么巨婴玩家啊",张孤山,4088.0,https://img3.doubanio.com/lpic/s29943880.jpg,50,动作
51,51,PC / Mac / PS4 / Xbox One / Nintendo Switch / Linux,游戏 / 横版过关 / 角色扮演 / 冒险 / 动作,9.4,空洞骑士 Hollow Knight,https://www.douban.com/game/26973112/,50.0,去洗手间发现眼睛好多血丝，先睡了。,Tenderrrrr,1987.0,https://img3.doubanio.com/lpic/s29860731.jpg,51,动作
52,52,PC,游戏 / 益智 / 动作,9.3,警察抓小偷（淘金者） LODERUNN,https://www.douban.com/game/26417345/,50.0,小时候跟弟弟表弟一起玩的游戏，印象中第一个电脑游戏。怀念的不是游戏，是跟弟弟亲密的时光，后来不再有了。一直想重新下载一个，但是都找不到,Zoe,42.0,https://img3.doubanio.com/lpic/s28101875.jpg,52,动作
53,53,PS4 / PS3 / Wii / PS2 / Nintendo Switch,游戏 / 冒险 / 动作,9.3,大神,https://www.douban.com/game/10735222/,50.0,你经过你地方都会开花，你去过的地方都会被净化。,馬鹿王子様,831.0,https://img1.doubanio.com/lpic/s9090978.jpg,53,动作
54,54,PS,游戏 / 横版过关 / 冒险 / 动作,9.3,古惑狼3 Crash Bandicoot 3: Warped,https://www.douban.com/game/10876572/,50.0,虽说二吧 但也打发了很多逃课时光,$5 Pearls,101.0,https://img3.doubanio.com/lpic/s10479145.jpg,54,动作
